tournament_label,p0_name,p1_name,p0_wins,p1_wins,ties,num_games,p0_win_rate_pct,wilson_lower_pct,wilson_upper_pct,half_width_pct
arch_vs_fold,cfr,always_fold,678,322,0,1000,67.80,64.84,70.62,2.89
arch_vs_fold,heuristic,always_fold,932,68,0,1000,93.20,91.47,94.60,1.57
arch_vs_fold,hmm,always_fold,962,38,0,1000,96.20,94.83,97.22,1.20
arch_vs_fold,hmm_cfr,always_fold,980,20,0,1000,98.00,96.93,98.70,0.89
arch_vs_raise,cfr,always_raise,793,207,0,1000,79.30,76.68,81.70,2.51
arch_vs_raise,heuristic,always_raise,693,307,0,1000,69.30,66.37,72.08,2.85
arch_vs_raise,hmm,always_raise,685,315,0,1000,68.50,65.55,71.30,2.87
arch_vs_raise,hmm_cfr,always_raise,714,286,0,1000,71.40,68.52,74.11,2.80
deterministic,cfr,deterministic,3638,1362,0,5000,72.76,71.51,73.98,1.23
deterministic,heuristic,deterministic,3363,1637,0,5000,67.26,65.95,68.55,1.30
deterministic,hmm,deterministic,3514,1486,0,5000,70.28,69.00,71.53,1.27
deterministic,hmm_cfr,deterministic,3635,1365,0,5000,72.70,71.45,73.92,1.23
deterministic,random,deterministic,633,4367,0,5000,12.66,11.77,13.61,0.92
deterministic,reinforce,deterministic,3980,1020,0,5000,79.60,78.46,80.69,1.12
final_vs_heur,cfr,heuristic,2429,2571,0,5000,48.58,47.20,49.97,1.38
final_vs_heur,hmm,heuristic,2430,2570,0,5000,48.60,47.22,49.99,1.38
final_vs_heur,hmm_cfr,heuristic,2526,2474,0,5000,50.52,49.13,51.90,1.39
final_vs_rand,cfr,random,4406,594,0,5000,88.12,87.19,88.99,0.90
final_vs_rand,heuristic,random,4440,560,0,5000,88.80,87.90,89.64,0.87
final_vs_rand,hmm,random,4403,597,0,5000,88.06,87.13,88.93,0.90
final_vs_rand,hmm_cfr,random,4326,674,0,5000,86.52,85.55,87.44,0.95
h2h,cfr,heuristic,2429,2571,0,5000,48.58,47.20,49.97,1.38
h2h,cfr,hmm_cfr,2623,2377,0,5000,52.46,51.07,53.84,1.38
h2h,cfr,reinforce,3731,1269,0,5000,74.62,73.40,75.81,1.21
h2h,heuristic,cfr,2477,2523,0,5000,49.54,48.16,50.93,1.39
h2h,heuristic,hmm_cfr,2426,2574,0,5000,48.52,47.14,49.91,1.38
h2h,heuristic,reinforce,1145,3855,0,5000,22.90,21.76,24.09,1.16
h2h,hmm_cfr,cfr,2240,2760,0,5000,44.80,43.43,46.18,1.38
h2h,hmm_cfr,heuristic,2526,2474,0,5000,50.52,49.13,51.90,1.39
h2h,hmm_cfr,reinforce,2307,2693,0,5000,46.14,44.76,47.52,1.38
h2h,reinforce,cfr,1256,3744,0,5000,25.12,23.94,26.34,1.20
h2h,reinforce,heuristic,3847,1153,0,5000,76.94,75.75,78.09,1.17
h2h,reinforce,hmm_cfr,2020,2980,0,5000,40.40,39.05,41.77,1.36
