tournament_label,opponent_p1,agent_X,agent_Y,X_wins,Y_wins,both_win,both_lose,b_X_only,c_Y_only,n_paired,chi2_cc,p_value,significant_005
arch_vs_fold,always_fold,cfr,heuristic,678,932,658,48,20,274,1000,217.718,2.846e-49,yes
arch_vs_fold,always_fold,cfr,hmm,678,962,667,27,11,295,1000,261.729,7.206e-59,yes
arch_vs_fold,always_fold,cfr,hmm_cfr,678,980,671,13,7,309,1000,286.712,2.588e-64,yes
arch_vs_fold,always_fold,heuristic,hmm,932,962,922,28,10,40,1000,16.820,4.11e-05,yes
arch_vs_fold,always_fold,heuristic,hmm_cfr,932,980,924,12,8,56,1000,34.516,4.228e-09,yes
arch_vs_fold,always_fold,hmm,hmm_cfr,962,980,959,17,3,21,1000,12.042,0.0002772,yes
arch_vs_raise,always_raise,cfr,heuristic,793,693,570,84,223,123,1000,28.327,1.025e-07,yes
arch_vs_raise,always_raise,cfr,hmm,793,685,569,91,224,116,1000,33.674,6.518e-09,yes
arch_vs_raise,always_raise,cfr,hmm_cfr,793,706,592,93,201,114,1000,23.479,1.263e-06,yes
arch_vs_raise,always_raise,heuristic,hmm,693,685,672,294,21,13,1000,1.441,0.2299,no
arch_vs_raise,always_raise,heuristic,hmm_cfr,693,706,610,211,83,96,1000,0.804,0.3698,no
arch_vs_raise,always_raise,hmm,hmm_cfr,685,706,608,217,77,98,1000,2.286,0.1306,no
deterministic,deterministic,cfr,heuristic,3638,3363,2681,680,957,682,5000,45.806,1.306e-11,yes
deterministic,deterministic,cfr,hmm,3638,3514,2745,593,893,769,5000,9.103,0.002552,yes
deterministic,deterministic,cfr,hmm_cfr,3638,3635,2805,532,833,830,5000,0.002,0.9609,no
deterministic,deterministic,cfr,random,3638,633,539,1268,3099,94,5000,2826.187,0,yes
deterministic,deterministic,cfr,reinforce,3638,3980,3019,401,619,961,5000,73.596,9.588e-18,yes
deterministic,deterministic,heuristic,hmm,3363,3514,2979,1102,384,535,5000,24.483,7.496e-07,yes
deterministic,deterministic,heuristic,hmm_cfr,3363,3635,2900,902,463,735,5000,61.303,4.893e-15,yes
deterministic,deterministic,heuristic,random,3363,633,516,1520,2847,117,5000,2512.632,0,yes
deterministic,deterministic,heuristic,reinforce,3363,3980,2823,480,540,1157,5000,223.604,1.48e-50,yes
deterministic,deterministic,hmm,hmm_cfr,3514,3635,3157,1008,357,478,5000,17.246,3.285e-05,yes
deterministic,deterministic,hmm,random,3514,633,522,1375,2992,111,5000,2673.026,0,yes
deterministic,deterministic,hmm,reinforce,3514,3980,2960,466,554,1020,5000,137.373,9.994e-32,yes
deterministic,deterministic,hmm_cfr,random,3635,633,539,1271,3096,94,5000,2823.198,0,yes
deterministic,deterministic,hmm_cfr,reinforce,3635,3980,3067,452,568,913,5000,79.903,3.933e-19,yes
deterministic,deterministic,random,reinforce,633,3980,552,939,81,3428,5000,3190.572,0,yes
final_vs_heur,heuristic,cfr,hmm,2429,2430,1513,1654,916,917,5000,0.000,1,no
final_vs_heur,heuristic,cfr,hmm_cfr,2429,2489,1552,1634,877,937,5000,1.919,0.166,no
final_vs_heur,heuristic,hmm,hmm_cfr,2430,2489,2056,2137,374,433,5000,4.169,0.04118,yes
final_vs_rand,random,cfr,heuristic,4406,4440,3915,69,491,525,5000,1.072,0.3005,no
final_vs_rand,random,cfr,hmm,4406,4403,3877,68,529,526,5000,0.004,0.9509,no
final_vs_rand,random,cfr,hmm_cfr,4406,4338,3841,97,565,497,5000,4.227,0.03979,yes
final_vs_rand,random,heuristic,hmm,4440,4403,4279,436,161,124,5000,4.547,0.03297,yes
final_vs_rand,random,heuristic,hmm_cfr,4440,4338,4017,239,423,321,5000,13.711,0.0002132,yes
final_vs_rand,random,hmm,hmm_cfr,4403,4338,4027,286,376,311,5000,5.962,0.01462,yes
h2h,cfr,heuristic,hmm_cfr,2477,2238,1616,1901,861,622,5000,38.196,6.4e-10,yes
h2h,cfr,heuristic,reinforce,2477,1256,747,2014,1730,509,5000,664.761,1.377e-146,yes
h2h,cfr,hmm_cfr,reinforce,2238,1256,683,2189,1555,573,5000,452.237,2.351e-100,yes
h2h,heuristic,cfr,hmm_cfr,2429,2489,1552,1634,877,937,5000,1.919,0.166,no
h2h,heuristic,cfr,reinforce,2429,3847,1979,703,450,1868,5000,866.216,2.169e-190,yes
h2h,heuristic,hmm_cfr,reinforce,2489,3847,2029,693,460,1818,5000,808.362,8.203e-178,yes
h2h,hmm_cfr,cfr,heuristic,2623,2389,1575,1563,1048,814,5000,29.156,6.677e-08,yes
h2h,hmm_cfr,cfr,reinforce,2623,2309,1347,1415,1276,962,5000,43.775,3.683e-11,yes
h2h,hmm_cfr,heuristic,reinforce,2389,2309,1262,1564,1127,1047,5000,2.871,0.0902,no
h2h,reinforce,cfr,heuristic,3731,1145,909,1033,2822,236,5000,2185.162,0,yes
h2h,reinforce,cfr,hmm_cfr,3731,2639,2158,788,1573,481,5000,579.494,4.832e-128,yes
h2h,reinforce,heuristic,hmm_cfr,1145,2639,905,2121,240,1734,5000,1129.204,1.485e-247,yes
